W1,W2,W3,W4,W5,W6,W7,W8,,B1,B2,B3,B4,B5,B6,B7,B8
0.481,0.459,0.421,0.449,0.449,0.414,0.466,0.463,,0.474,0.447,0.411,0.435,0.434,0.407,0.459,0.452
0.487,0.465,0.427,0.453,0.455,0.419,0.473,0.466,,0.479,0.452,0.416,0.442,0.444,0.412,0.464,0.454
0.488,0.467,0.433,0.461,0.461,0.426,0.478,0.467,,0.479,0.458,0.423,0.45,0.45,0.417,0.468,0.459
0.497,0.466,0.433,0.461,0.46,0.431,0.484,0.466,,0.491,0.462,0.43,0.458,0.452,0.422,0.477,0.461
0.499,0.471,0.432,0.453,0.465,0.432,0.482,0.471,,0.494,0.469,0.432,0.453,0.457,0.424,0.478,0.468
0.499,0.474,0.434,0.44,0.461,0.43,0.479,0.47,,0.492,0.469,0.432,0.439,0.452,0.421,0.473,0.465
0.488,0.469,0.435,0.457,0.458,0.429,0.478,0.466,,0.477,0.458,0.428,0.45,0.449,0.419,0.469,0.458
0.492,0.466,0.436,0.461,0.462,0.426,0.48,0.464,,0.481,0.456,0.423,0.446,0.45,0.416,0.469,0.455
0.498,0.467,0.429,0.459,0.445,0.421,0.475,0.464,,0.485,0.455,0.418,0.443,0.439,0.41,0.466,0.456
0.484,0.457,0.425,0.452,0.455,0.423,0.477,0.461,,0.477,0.449,0.413,0.439,0.444,0.411,0.464,0.453
0.476,0.459,0.419,0.447,0.455,0.418,0.469,0.46,,0.473,0.448,0.41,0.435,0.444,0.41,0.459,0.452
0.476,0.461,0.413,0.438,0.45,0.418,0.465,0.463,,0.473,0.448,0.407,0.432,0.44,0.41,0.458,0.452
0.477,0.459,0.422,0.443,0.451,0.417,0.464,0.465,,0.473,0.448,0.41,0.434,0.44,0.409,0.457,0.453
0.484,0.465,0.428,0.454,0.457,0.42,0.475,0.468,,0.478,0.453,0.416,0.442,0.442,0.41,0.463,0.457
0.49,0.467,0.431,0.453,0.46,0.427,0.477,0.467,,0.483,0.458,0.422,0.444,0.448,0.416,0.467,0.459
0.492,0.47,0.428,0.454,0.457,0.429,0.484,0.471,,0.486,0.466,0.425,0.452,0.449,0.421,0.478,0.465
0.499,0.468,0.431,0.459,0.459,0.431,0.482,0.472,,0.495,0.466,0.431,0.46,0.453,0.424,0.478,0.469
0.497,0.472,0.431,0.462,0.463,0.434,0.488,0.472,,0.491,0.469,0.428,0.46,0.456,0.425,0.481,0.469
0.496,0.47,0.435,0.453,0.456,0.428,0.484,0.47,,0.489,0.463,0.428,0.446,0.449,0.419,0.476,0.462
0.495,0.475,0.435,0.463,0.46,0.43,0.48,0.469,,0.486,0.462,0.424,0.449,0.451,0.419,0.471,0.46
0.493,0.468,0.43,0.456,0.456,0.425,0.473,0.457,,0.483,0.457,0.417,0.441,0.448,0.415,0.467,0.452
0.486,0.464,0.421,0.457,0.45,0.422,0.472,0.455,,0.476,0.452,0.412,0.442,0.446,0.41,0.464,0.449
0.483,0.468,0.422,0.449,0.446,0.419,0.469,0.457,,0.478,0.455,0.411,0.438,0.443,0.409,0.461,0.451
0.476,0.467,0.421,0.444,0.443,0.416,0.467,0.461,,0.474,0.453,0.411,0.433,0.44,0.41,0.46,0.452
0.481,0.47,0.428,0.447,0.437,0.415,0.467,0.461,,0.476,0.455,0.415,0.435,0.434,0.407,0.46,0.451
0.493,0.47,0.43,0.46,0.45,0.422,0.473,0.463,,0.482,0.458,0.418,0.446,0.444,0.413,0.465,0.453
0.492,0.474,0.433,0.461,0.462,0.432,0.482,0.468,,0.484,0.464,0.425,0.451,0.452,0.421,0.472,0.459
0.492,0.474,0.432,0.461,0.464,0.429,0.485,0.464,,0.487,0.468,0.429,0.457,0.455,0.421,0.479,0.459
0.496,0.476,0.429,0.449,0.458,0.427,0.48,0.468,,0.49,0.474,0.429,0.449,0.451,0.42,0.476,0.465
0.493,0.474,0.434,0.455,0.459,0.429,0.481,0.467,,0.487,0.47,0.432,0.453,0.451,0.422,0.477,0.464
0.493,0.477,0.436,0.464,0.459,0.428,0.488,0.469,,0.485,0.468,0.429,0.455,0.45,0.419,0.478,0.462
0.495,0.47,0.431,0.459,0.458,0.431,0.485,0.463,,0.485,0.459,0.421,0.446,0.447,0.418,0.473,0.456
0.493,0.47,0.422,0.457,0.453,0.423,0.481,0.463,,0.484,0.457,0.413,0.443,0.442,0.414,0.467,0.455
0.485,0.466,0.419,0.45,0.442,0.42,0.481,0.46,,0.48,0.454,0.412,0.438,0.435,0.412,0.466,0.452
0.477,0.462,0.417,0.452,0.445,0.421,0.476,0.459,,0.475,0.451,0.41,0.438,0.437,0.41,0.464,0.452
0.474,0.46,0.417,0.447,0.444,0.419,0.463,0.457,,0.474,0.45,0.41,0.436,0.437,0.408,0.459,0.451
0.478,0.464,0.415,0.453,0.44,0.415,0.466,0.46,,0.475,0.452,0.409,0.44,0.432,0.404,0.46,0.452
0.49,0.468,0.424,0.455,0.445,0.421,0.475,0.464,,0.48,0.455,0.415,0.442,0.437,0.411,0.464,0.454
0.496,0.472,0.432,0.458,0.461,0.428,0.483,0.47,,0.486,0.463,0.422,0.447,0.45,0.418,0.472,0.461
0.494,0.474,0.434,0.453,0.465,0.432,0.485,0.476,,0.489,0.469,0.43,0.45,0.455,0.422,0.479,0.47
0.496,0.477,0.429,0.455,0.462,0.431,0.486,0.472,,0.493,0.475,0.429,0.455,0.455,0.423,0.481,0.47
0.496,0.479,0.431,0.456,0.459,0.426,0.488,0.476,,0.49,0.475,0.429,0.455,0.45,0.417,0.482,0.472
0.496,0.459,0.433,0.464,0.453,0.421,0.484,0.47,,0.486,0.452,0.426,0.455,0.444,0.411,0.476,0.461
0.495,0.47,0.436,0.46,0.46,0.43,0.484,0.471,,0.481,0.455,0.42,0.446,0.447,0.416,0.471,0.458
0.486,0.468,0.432,0.461,0.462,0.424,0.484,0.466,,0.481,0.454,0.418,0.444,0.446,0.408,0.468,0.456
0.485,0.458,0.421,0.451,0.46,0.421,0.475,0.457,,0.48,0.45,0.412,0.439,0.446,0.411,0.463,0.45
0.481,0.452,0.418,0.443,0.453,0.418,0.472,0.447,,0.476,0.446,0.41,0.434,0.442,0.411,0.46,0.445
0.479,0.459,0.414,0.438,0.45,0.414,0.466,0.45,,0.472,0.447,0.407,0.431,0.439,0.408,0.459,0.444
0.477,0.457,0.421,0.436,0.448,0.408,0.47,0.448,,0.473,0.446,0.41,0.43,0.436,0.402,0.46,0.442
0.48,0.463,0.425,0.447,0.452,0.417,0.475,0.455,,0.473,0.452,0.412,0.436,0.442,0.411,0.465,0.447
0.485,0.467,0.426,0.459,0.459,0.426,0.48,0.46,,0.478,0.458,0.416,0.448,0.45,0.416,0.47,0.452
0.49,0.468,0.43,0.454,0.459,0.432,0.481,0.466,,0.485,0.463,0.427,0.45,0.452,0.423,0.474,0.461
0.488,0.467,0.431,0.451,0.453,0.429,0.479,0.471,,0.485,0.465,0.431,0.451,0.447,0.422,0.476,0.468
0.494,0.469,0.429,0.455,0.454,0.426,0.483,0.468,,0.489,0.466,0.427,0.454,0.448,0.418,0.477,0.464
0.498,0.47,0.432,0.458,0.46,0.412,0.481,0.465,,0.49,0.462,0.424,0.451,0.452,0.403,0.472,0.458
0.493,0.469,0.432,0.461,0.458,0.427,0.478,0.474,,0.486,0.457,0.42,0.448,0.449,0.417,0.467,0.46
0.492,0.466,0.427,0.459,0.448,0.422,0.479,0.46,,0.483,0.455,0.417,0.445,0.443,0.412,0.468,0.455
0.489,0.465,0.42,0.45,0.444,0.419,0.476,0.461,,0.482,0.454,0.412,0.44,0.441,0.411,0.466,0.454
0.483,0.454,0.419,0.445,0.442,0.421,0.47,0.457,,0.48,0.449,0.412,0.438,0.439,0.41,0.461,0.451
0.475,0.456,0.415,0.438,0.441,0.42,0.464,0.457,,0.475,0.447,0.41,0.432,0.438,0.41,0.46,0.45
0.477,0.458,0.42,0.443,0.437,0.42,0.464,0.461,,0.475,0.447,0.41,0.434,0.434,0.409,0.459,0.451
0.484,0.463,0.424,0.447,0.44,0.42,0.472,0.462,,0.48,0.452,0.415,0.439,0.437,0.41,0.463,0.453
0.489,0.467,0.423,0.459,0.444,0.427,0.477,0.466,,0.481,0.458,0.415,0.448,0.441,0.416,0.468,0.457
0.49,0.466,0.43,0.455,0.448,0.424,0.474,0.46,,0.484,0.461,0.426,0.452,0.443,0.416,0.468,0.455
